"11", "Cinemas ZON Lusomundo Colombo", "", "35", "16996", "Lisboa", "Lisboa", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-colombo/4c55d24e728920a1e8de1785", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Colombo/101549429937100", "101549429937100", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "1500-392", "Av. Lusíada", "NULL", "38.75512493", "-9.18705672", "0"
"12", "Cinemas ZON Lusomundo Dolce Vita Coimbra", "", "35", "16996", "Coimbra", "Coimbra", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-dolce-vita-coimbra/4d163c0125cda14315f36ed6", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Dolce-Vita-Coimbra/129617157154492", "129617157154492", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "3030-327", "R. General Humberto Delgado 207", "NULL", "40.20444784", "-8.407624215", "0"
"13", "Cinemas ZON Lusomundo Dolce Vita Douro", "", "35", "16996", "Vila Real", "Vila Real", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-dolce-vita-douro/4d34acdd329e5481fb39c41d", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Dolce-Vita-Douro/315696668462747", "315696668462747", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "5000-703", "Alameda de Grasse", "NULL", "41.29651382", "-7.734318674", "0"
"14", "Cinemas ZON Lusomundo Dolce Vita Miraflores", "", "35", "16996", "Algés", "Lisboa", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-dolce-vita-miraflores/4d4480f61ed56dcb934fb054", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Dolce-Vita-Miraflores/244897502246439", "244897502246439", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "1495-195", "Av. das Túlipas 6", "NULL", "38.70974234", "-9.22814548", "0"
"15", "Cinemas ZON Lusomundo Dolce Vita Porto", "", "35", "16996", "Porto", "Porto", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-dolce-vita-porto/4bf00a74c601a593c930c3d1", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Dolce-Vita-Porto/196863877023503", "196863877023503", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "4350-149", "R. dos Campeões Europeus de Viena 28-198", "NULL", "41.16362638", "-8.584540039", "0"
"16", "Cinemas ZON Lusomundo Ferrara Plaza", "", "35", "16996", "Paços de Ferreira", "Porto", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-ferrara-plaza/4e1a33c218a8166f739e15ad", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Ferrara-Plaza/275514169169296", "275514169169296", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "4590-073", "R. das Pedreiras 36", "NULL", "41.28509898", "-8.361279666", "0"
"17", "Cinemas ZON Lusomundo Forum Aveiro", "", "35", "16996", "Aveiro", "Aveiro", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-forum-aveiro/4d4c4d25f5d8a09031f63b2f", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Forum-Aveiro/292411220799406", "292411220799406", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "3810-064", "Forum Aveiro", "NULL", "40.64080828", "-8.651597276", "0"
"18", "Cinemas ZON Lusomundo Forum Coimbra", "", "35", "16996", "Coimbra", "Coimbra", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-forum-coimbra/4d682484fd1b8cfa218e27f0", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Forum-Coimbra/239399909462483", "239399909462483", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "3044-520", "Av. José Bonifácio de Andrade e Silva 1", "NULL", "40.21133054", "-8.443099111", "0"
"19", "Cinemas ZON Lusomundo Forum Madeira", "", "35", "16996", "Funchal", "Madeira", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-forum-madeira/4d21e12629292d43ec575274", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Forum-Madeira/146079775484871", "146079775484871", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "9000-568", "Estrada Monumental 390", "NULL", "32.63676385", "-16.94366857", "0"
"20", "Cinemas ZON Lusomundo Forum Montijo", "", "35", "16996", "Montijo", "Setúbal", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-forum-montijo/4c655cb85e61d13ab1a7bb85", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Forum-Montijo/179768152086380", "179768152086380", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "2870-100", "Zona Industrial do Pau Queimado", "NULL", "38.69411854", "-8.940980136", "0"
"21", "Cinemas ZON Lusomundo Forum Viseu", "", "35", "16996", "Viseu", "Viseu", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-forum-viseu/4ce7f46fb99754811478f944", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Forum-Viseu/197201250374075", "197201250374075", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "3510-078", "R. D. José da Cruz Moreira Pinto 32", "NULL", "40.66187316", "-7.914331108", "0"
"22", "Cinemas ZON Lusomundo Foz Plaza", "", "35", "16996", "Figueira da Foz", "Coimbra", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-foz-plaza/4e5be6e0fa76d2b00c2d3a5e", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Foz-Plaza/212232742151633", "212232742151633", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "3080-206", "R. dos Condados", "NULL", "40.16584057", "-8.859638125", "0"
"23", "Cinemas ZON Lusomundo GaiaShopping", "", "35", "16996", "Vila Nova de Gaia", "Porto", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-gaiashopping/4c49f7666594be9a809aca25", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Gaia-Shopping/300102433361762", "300102433361762", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "4404-503", "Av. dos Descobrimentos 549", "NULL", "41.11698317", "-8.622525483", "0"
